region,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_discount,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi
Jakarta Selatan,0.00,1725000.00,5.00,3.00,10.00,Kos Putri,6.90,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Jakarta Selatan,0.00,1725000.00,4.60,9.00,10.00,Kos Campur,6.00,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Jakarta Selatan,0.00,1725000.00,4.80,13.00,18.00,Kos Putri,12.00,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
Jakarta Selatan,1.00,1375000.00,4.80,65.00,128.00,Kos Putri,12.00,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
Jakarta Timur,3.00,811440.00,5.00,3.00,8.00,Kos Campur,9.00,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
Jakarta Selatan,2.00,1225000.00,4.80,13.00,24.00,Kos Putri,12.00,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0
Jakarta Pusat,0.00,1525000.00,4.60,11.00,34.00,Kos Putra,5.00,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0
Jakarta Timur,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Jakarta Timur,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Jakarta Timur,0.00,853000.00,4.90,2.00,5.00,Kos Putri,8.80,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
