room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost AP Tipe B Tomang Grogol Petamburan Jakarta Barat,Jakarta Barat,Grogol Petamburan,1.00,2400000.00,4.40,4.00,3.00,Kos Campur,12.00,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Kost Apik 28 Tipe A Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,1325000.00,4.30,11.00,23.00,Kos Putri,7.92,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik 33 Al Wustho Tipe A Duren Sawit Jakarta Timur,Jakarta Timur,Duren Sawit,0.00,855000.00,0.00,0.00,0.00,Kos Campur,7.29,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1
Kost Apik 33 Cempaka Baru Tipe A Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,1.00,1235000.00,4.80,7.00,8.00,Kos Putra,17.60,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
Kost Apik 33 Cempaka Baru Tipe B Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,1140000.00,4.80,4.00,9.00,Kos Putra,12.00,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
Kost Apik 33 Cempaka Baru Tipe D Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,760000.00,4.80,21.00,35.00,Kos Putra,9.00,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Kost Apik 49 Tipe D Jagakarsa Jakarta Selatan,Jakarta Selatan,Jagakarsa,0.00,927500.00,4.80,9.00,17.00,Kos Campur,6.44,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik 89G Kwitang Tipe A Senen Jakarta Pusat,Jakarta Pusat,Senen,0.00,1083000.00,5.00,4.00,8.00,Kos Putri,5.67,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Kost Apik 89G Kwitang Tipe B Senen Jakarta Pusat,Jakarta Pusat,Senen,0.00,1037000.00,4.80,6.00,12.00,Kos Putri,4.41,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Kost Apik 89G Kwitang Tipe C Senen Jakarta Pusat,Jakarta Pusat,Senen,0.00,975000.00,4.80,13.00,19.00,Kos Putri,5.04,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Kost Apik 89G Kwitang Tipe D Senen Jakarta Pusat,Jakarta Pusat,Senen,0.00,925000.00,4.50,7.00,10.00,Kos Putri,4.50,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Kost Apik Abputar Tipe A Palmerah Jakarta Barat,Jakarta Barat,Palmerah,0.00,1725000.00,4.60,8.00,27.00,Kos Campur,14.40,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Abputar Tipe B Palmerah Jakarta Barat,Jakarta Barat,Palmerah,1.00,825000.00,4.60,32.00,80.00,Kos Putra,9.25,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Acp Unindra 1 Tipe C Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Acp Unindra 1 Tipe C Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Acp Unindra 1 Tipe C Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Acp Unindra 1 Tipe C Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Acp Unindra 1 Tipe C Pasar Rebo Jakarta Timur,Jakarta Timur,Pasar Rebo,1.00,1355000.00,0.00,0.00,0.00,Kos Campur,10.00,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Kost Apik Aipda Petamburan Tipe A Tanah Abang Jakarta Pusat,Jakarta Pusat,Tanah Abang,0.00,1380000.00,0.00,0.00,1.00,Kos Putri,9.00,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Aipda Petamburan Tipe B Tanah Abang Jakarta Pusat,Jakarta Pusat,Tanah Abang,0.00,1196000.00,0.00,0.00,0.00,Kos Putri,10.80,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Aipda Petamburan Tipe C Tanah Abang Jakarta Pusat,Jakarta Pusat,Tanah Abang,0.00,1300000.00,5.00,3.00,8.00,Kos Putri,9.00,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Aipda Petamburan Tipe D Tanah Abang Jakarta Pusat,Jakarta Pusat,Tanah Abang,0.00,1100000.00,4.90,40.00,85.00,Kos Putri,9.00,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kost Apik Aksata Residence Binus Anggrek Tipe D Kebon Jeruk Jakarta Barat,Jakarta Barat,Kebon Jeruk,0.00,1279000.00,0.00,0.00,15.00,Kos Campur,9.00,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
