region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Jakarta Pusat,Kemayoran,1.0,1235000.0,4.8,7.0,8.0,Kos Putra,17.6,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
Jakarta Pusat,Kemayoran,0.0,1140000.0,4.8,4.0,9.0,Kos Putra,12.0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
Jakarta Pusat,Kemayoran,0.0,760000.0,4.8,21.0,35.0,Kos Putra,9.0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Jakarta Selatan,Jagakarsa,0.0,927500.0,4.8,9.0,17.0,Kos Campur,6.4399999999999995,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Senen,0.0,1083000.0,5.0,4.0,8.0,Kos Putri,5.670000000000001,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Jakarta Pusat,Senen,0.0,1037000.0,4.8,6.0,12.0,Kos Putri,4.41,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Jakarta Pusat,Senen,0.0,975000.0,4.8,13.0,19.0,Kos Putri,5.04,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Jakarta Pusat,Senen,0.0,925000.0,4.5,7.0,10.0,Kos Putri,4.5,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1
Jakarta Barat,Palmerah,0.0,1725000.0,4.6,8.0,27.0,Kos Campur,14.4,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Barat,Palmerah,1.0,825000.0,4.6,32.0,80.0,Kos Putra,9.25,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,1.0,1355000.0,0.0,0.0,0.0,Kos Campur,10.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,1.0,1355000.0,0.0,0.0,0.0,Kos Campur,10.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,1.0,1355000.0,0.0,0.0,0.0,Kos Campur,10.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,1.0,1355000.0,0.0,0.0,0.0,Kos Campur,10.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Timur,Pasar Rebo,1.0,1355000.0,0.0,0.0,0.0,Kos Campur,10.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Tanah Abang,0.0,1380000.0,0.0,0.0,1.0,Kos Putri,9.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Tanah Abang,0.0,1196000.0,0.0,0.0,0.0,Kos Putri,10.8,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Tanah Abang,0.0,1300000.0,5.0,3.0,8.0,Kos Putri,9.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Pusat,Tanah Abang,0.0,1100000.0,4.9,40.0,85.0,Kos Putri,9.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Jakarta Barat,Kebon Jeruk,0.0,1279000.0,0.0,0.0,15.0,Kos Campur,9.0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Jakarta Selatan,Pasar Minggu,0.0,2025000.0,0.0,0.0,2.0,Kos Putri,14.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Jakarta Selatan,Pasar Minggu,0.0,1875000.0,0.0,0.0,2.0,Kos Putri,12.0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Jakarta Selatan,Pasar Minggu,0.0,1681000.0,5.0,2.0,1.0,Kos Putri,8.0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Jakarta Selatan,Pasar Minggu,0.0,1725000.0,5.0,3.0,10.0,Kos Putri,6.8999999999999995,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
Jakarta Selatan,SETIA BUDI,0.0,1725000.0,4.6,9.0,10.0,Kos Campur,6.0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
Jakarta Selatan,Setia Budi,0.0,1725000.0,4.8,13.0,18.0,Kos Putri,12.0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
Jakarta Selatan,SETIA BUDI,1.0,1375000.0,4.8,65.0,128.0,Kos Putri,12.0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0
Jakarta Timur,Makasar,3.0,811440.0,5.0,3.0,8.0,Kos Campur,9.0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1
Jakarta Selatan,Jagakarsa,2.0,1225000.0,4.8,13.0,24.0,Kos Putri,12.0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
Jakarta Pusat,Senen,0.0,1525000.0,4.6,11.0,34.0,Kos Putra,5.0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
Jakarta Timur,Kramat Jati,0.0,853000.0,4.9,2.0,5.0,Kos Putri,8.8,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1
